Name: RAL Design	
Description: RAL design colors	
187  167  157	RAL 050 70 10
201  162  144	RAL 050 70 20
214  158  130	RAL 050 70 30
227  152  117	RAL 050 70 40
238  147  103	RAL 050 70 50
249  141  89	RAL 050 70 60
215  194  184	RAL 050 80 10
230  189  170	RAL 050 80 20
244  185  157	RAL 050 80 30
235  224  219	RAL 050 90 05
243  222  212	RAL 050 90 10
241  230  225	RAL 050 92 05
54  47  42	RAL 060 20 05
77  69  64	RAL 060 30 05
82  68  57	RAL 060 30 10
91  65  44	RAL 060 30 20
97  62  34	RAL 060 30 27
101  93  87	RAL 060 40 05
106  91  80	RAL 060 40 10
117  88  66	RAL 060 40 20
126  84  52	RAL 060 40 30
134  81  37	RAL 060 40 40
125  117  112	RAL 060 50 05
132  116  104	RAL 060 50 10
143  112  90	RAL 060 50 20
153  109  75	RAL 060 50 30
162  105  60	RAL 060 50 40
170  101  44	RAL 060 50 50
177  97  24	RAL 060 50 60
185  92  0	RAL 060 50 70
152  143  137	RAL 060 60 05
158  141  130	RAL 060 60 10
170  138  115	RAL 060 60 20
180  134  99	RAL 060 60 30
190  130  84	RAL 060 60 40
199  126  68	RAL 060 60 50
207  122  51	RAL 060 60 60
215  118  30	RAL 060 60 70
222  113  0	RAL 060 60 80
178  169  163	RAL 060 70 05
185  168  156	RAL 060 70 10
197  164  140	RAL 060 70 20
209  161  125	RAL 060 70 30
219  157  109	RAL 060 70 40
229  153  93	RAL 060 70 50
238  148  76	RAL 060 70 60
246  144  57	RAL 060 70 70
213  195  182	RAL 060 80 10
226  191  167	RAL 060 80 20
238  188  151	RAL 060 80 30
249  184  135	RAL 060 80 40
234  225  218	RAL 060 90 05
241  223  210	RAL 060 90 10
248  221  202	RAL 060 90 15
88  66  41	RAL 070 30 20
104  92  79	RAL 070 40 10
113  90  64	RAL 070 40 20
120  87  48	RAL 070 40 30
126  85  30	RAL 070 40 40
130  117  103	RAL 070 50 10
139  114  87	RAL 070 50 20
146  112  71	RAL 070 50 30
153  109  54	RAL 070 50 40
160  107  34	RAL 070 50 50
163  106  22	RAL 070 50 55
156  142  128	RAL 070 60 10
165  140  112	RAL 070 60 20
174  137  95	RAL 070 60 30
181  135  78	RAL 070 60 40
188  132  59	RAL 070 60 50
195  130  38	RAL 070 60 60
201  127  0	RAL 070 60 70
203  126  0	RAL 070 60 75
183  169  154	RAL 070 70 10
193  166  137	RAL 070 70 20
202  164  120	RAL 070 70 30
210  161  103	RAL 070 70 40
218  158  84	RAL 070 70 50
225  156  65	RAL 070 70 60
231  153  41	RAL 070 70 70
237  150  0	RAL 070 70 80
210  196  181	RAL 070 80 10
221  193  164	RAL 070 80 20
231  191  146	RAL 070 80 30
239  188  128	RAL 070 80 40
247  185  110	RAL 070 80 50
255  183  91	RAL 070 80 60
233  225  217	RAL 070 90 05
239  224  209	RAL 070 90 10
250  221  191	RAL 070 90 20
110  91  63	RAL 075 40 20
117  89  46	RAL 075 40 30
121  88  32	RAL 075 40 38
136  115  86	RAL 075 50 20
143  113  69	RAL 075 50 30
149  112  51	RAL 075 50 40
154  110  30	RAL 075 50 50
158  108  2	RAL 075 50 58
154  143  128	RAL 075 60 10
163  141  111	RAL 075 60 20
170  139  93	RAL 075 60 30
177  137  76	RAL 075 60 40
183  135  56	RAL 075 60 50
188  133  32	RAL 075 60 60
193  131  0	RAL 075 60 70
181  169  154	RAL 075 70 10
190  167  136	RAL 075 70 20
198  165  119	RAL 075 70 30
205  163  100	RAL 075 70 40
212  161  81	RAL 075 70 50
217  159  60	RAL 075 70 60
223  157  33	RAL 075 70 70
228  155  0	RAL 075 70 80
209  196  180	RAL 075 80 10
218  194  163	RAL 075 80 20
227  192  144	RAL 075 80 30
234  190  126	RAL 075 80 40
241  188  107	RAL 075 80 50
247  186  87	RAL 075 80 60
237  224  208	RAL 075 90 10
247  222  190	RAL 075 90 20
238  231  223	RAL 075 92 05
55  47  34	RAL 080 20 10
74  70  63	RAL 080 30 05
78  69  55	RAL 080 30 10
83  68  40	RAL 080 30 20
86  68  30	RAL 080 30 26
98  94  86	RAL 080 40 05
102  93  78	RAL 080 40 10
108  92  62	RAL 080 40 20
113  91  45	RAL 080 40 30
117  89  25	RAL 080 40 40
123  118  111	RAL 080 50 05
127  118  102	RAL 080 50 10
134  116  85	RAL 080 50 20
139  115  68	RAL 080 50 30
144  114  49	RAL 080 50 40
148  113  27	RAL 080 50 50
149  144  136	RAL 080 60 05
153  143  127	RAL 080 60 10
160  142  110	RAL 080 60 20
166  141  93	RAL 080 60 30
172  139  74	RAL 080 60 40
176  138  53	RAL 080 60 50
181  137  27	RAL 080 60 60
184  135  0	RAL 080 60 70
180  170  153	RAL 080 70 10
187  168  135	RAL 080 70 20
194  167  117	RAL 080 70 30
200  165  99	RAL 080 70 40
205  164  79	RAL 080 70 50
210  163  57	RAL 080 70 60
214  162  26	RAL 080 70 70
218  160  0	RAL 080 70 80
220  159  0	RAL 080 70 88
203  198  189	RAL 080 80 05
207  197  180	RAL 080 80 10
215  195  162	RAL 080 80 20
223  194  143	RAL 080 80 30
229  193  124	RAL 080 80 40
235  191  105	RAL 080 80 50
240  190  83	RAL 080 80 60
244  188  59	RAL 080 80 70
248  187  22	RAL 080 80 80
252  186  0	RAL 080 80 90
231  226  217	RAL 080 90 05
236  225  208	RAL 080 90 10
244  223  189	RAL 080 90 20
106  93  62	RAL 085 40 20
109  92  44	RAL 085 40 30
131  117  85	RAL 085 50 20
136  117  67	RAL 085 50 30
139  116  48	RAL 085 50 40
142  115  24	RAL 085 50 50
152  144  127	RAL 085 60 10
157  143  109	RAL 085 60 20
162  142  91	RAL 085 60 30
167  141  72	RAL 085 60 40
170  141  51	RAL 085 60 50
173  140  23	RAL 085 60 60
178  170  153	RAL 085 70 10
185  169  135	RAL 085 70 20
190  168  116	RAL 085 70 30
195  168  97	RAL 085 70 40
199  167  77	RAL 085 70 50
202  166  54	RAL 085 70 60
205  165  19	RAL 085 70 70
206  165  0	RAL 085 70 75
206  197  180	RAL 085 80 10
212  196  161	RAL 085 80 20
218  196  142	RAL 085 80 30
223  195  123	RAL 085 80 40
228  194  103	RAL 085 80 50
231  193  83	RAL 085 80 60
235  193  55	RAL 085 80 70
238  192  10	RAL 085 80 80
239  191  0	RAL 085 80 85
234  225  207	RAL 085 90 10
241  224  188	RAL 085 90 20
247  224  169	RAL 085 90 30
